"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at birth (years)","Published","2015","Europe","Cyprus","Female","84.1","84.11644","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Cyprus","Female","72.4","72.36806","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Cyprus","Female","25.6","25.63816","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Cyprus","Female","85.1","85.11829","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Cyprus","Female","73.0","72.96751","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Cyprus","Female","26.4","26.42715","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Cyprus","Both sexes","78.7","78.74654","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Cyprus","Both sexes","69.1","69.12556","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Cyprus","Both sexes","21.9","21.85754","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Cyprus","Both sexes","81.0","81.01904","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Cyprus","Both sexes","70.8","70.78558","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Cyprus","Both sexes","23.5","23.54269","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Cyprus","Both sexes","82.0","82.01412","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Cyprus","Both sexes","71.6","71.62617","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Cyprus","Both sexes","24.2","24.17280","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Cyprus","Both sexes","83.1","83.14104","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Cyprus","Both sexes","72.4","72.41338","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Cyprus","Both sexes","24.9","24.91942","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Czechia","Male","71.5","71.53430","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Czechia","Male","63.6","63.55989","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Czechia","Male","17.0","17.02598","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Czechia","Male","74.4","74.41394","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Czechia","Male","65.6","65.57121","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Czechia","Male","18.8","18.77045","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Czechia","Male","75.6","75.56622","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Czechia","Male","66.4","66.36488","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Czechia","Male","19.3","19.33787","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Czechia","Male","76.3","76.30233","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Czechia","Male","67.0","66.97215","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Czechia","Male","19.9","19.92919","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Czechia","Female","78.3","78.28870","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Czechia","Female","68.3","68.25306","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Czechia","Female","21.3","21.26231","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Czechia","Female","80.7","80.65443","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Czechia","Female","69.9","69.86087","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Czechia","Female","23.0","22.95369","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Czechia","Female","81.3","81.29614","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Czechia","Female","70.2","70.16754","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Czechia","Female","23.4","23.40351","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Czechia","Female","81.9","81.93262","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Czechia","Female","70.6","70.57385","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Czechia","Female","24.0","24.00078","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Czechia","Both sexes","75.0","74.95213","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Czechia","Both sexes","65.9","65.93805","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Czechia","Both sexes","19.3","19.33768","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Czechia","Both sexes","77.6","77.56047","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Czechia","Both sexes","67.7","67.74052","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Czechia","Both sexes","21.0","21.01207","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Czechia","Both sexes","78.5","78.45764","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Czechia","Both sexes","68.3","68.29140","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Czechia","Both sexes","21.5","21.49508","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Czechia","Both sexes","79.1","79.13030","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Czechia","Both sexes","68.8","68.78941","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Czechia","Both sexes","22.1","22.06973","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Germany","Male","75.0","75.04047","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Germany","Male","67.0","66.96170","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Germany","Male","19.5","19.47009","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Germany","Male","77.8","77.77688","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Germany","Male","69.1","69.05370","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Germany","Male","21.4","21.39982","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Germany","Male","78.1","78.11604","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Germany","Male","69.3","69.27793","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Germany","Male","21.5","21.46168","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Germany","Male","78.7","78.72021","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Germany","Male","69.7","69.66399","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Germany","Male","21.9","21.86726","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Germany","Female","80.9","80.91944","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Germany","Female","69.8","69.80727","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Germany","Female","23.6","23.56962","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Germany","Female","82.5","82.53684","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Germany","Female","70.9","70.86930","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Germany","Female","24.8","24.76417","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Germany","Female","82.7","82.71346","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Germany","Female","70.8","70.84779","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Germany","Female","24.8","24.83876","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Germany","Female","84.8","84.77129","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Germany","Female","72.1","72.10513","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Germany","Female","26.9","26.87273","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Germany","Both sexes","78.1","78.09462","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Germany","Both sexes","68.5","68.46447","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Germany","Both sexes","21.8","21.75050","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Germany","Both sexes","80.2","80.16794","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Germany","Both sexes","70.0","69.96275","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Germany","Both sexes","23.2","23.15471","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Germany","Both sexes","80.4","80.42174","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Germany","Both sexes","70.1","70.07052","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Germany","Both sexes","23.2","23.21284","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Germany","Both sexes","81.7","81.72252","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Germany","Both sexes","70.9","70.89113","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Germany","Both sexes","24.4","24.41208","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Djibouti","Male","57.9","57.87146","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Djibouti","Male","51.8","51.76263","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Djibouti","Male","14.9","14.91666","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Djibouti","Male","60.6","60.63437","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Djibouti","Male","54.2","54.23459","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Djibouti","Male","15.8","15.80988","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Djibouti","Male","62.8","62.83549","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Djibouti","Male","56.1","56.12336","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Djibouti","Male","16.3","16.30686","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Djibouti","Male","64.1","64.09922","","","","",""
